team,file_name,micro_tp,micro_fp,micro_fn,micro_precision,micro_recall,micro_f1,type_tp,type_fp,type_fn,type_precision,type_recall,type_f1
EngiNR,taskA_parkinson_terms_run_10_ccte_bsbc_atr.csv,1943,1221,6890,0.6140960809102401,0.2199705649269784,0.32391431191131115,1922,1193,4810,0.6170144462279293,0.2855020796197267,0.39037270234589216
EngiNR,taskA_parkinson_terms_run_2_ccte_only.csv,1776,1058,7057,0.6266760762173607,0.201064191101551,0.30444844433016205,1755,1033,4977,0.6294835007173601,0.2606951871657754,0.36869747899159666
EngiNR,taskA_parkinson_terms_run_3_ccte_bsbc.csv,1807,1145,7026,0.6121273712737128,0.20457375750028303,0.3066610097581671,1786,1118,4946,0.6150137741046832,0.26530005941770646,0.3706932337069323
EngiNR,taskA_parkinson_terms_run_7_neural_glf075_freq2.csv,1821,1087,7012,0.6262035763411279,0.20615872297067814,0.3101950430116685,1821,1086,4911,0.6264189886480909,0.27049910873440286,0.37784002489884844
EngiNR,taskA_parkinson_terms_run_8_ccte_bsbc_datcf.csv,1786,1119,7047,0.614802065404475,0.20219630929469037,0.3043107854830466,1786,1118,4946,0.6150137741046832,0.26530005941770646,0.3706932337069323
q1,q1 values of all runs,1814,1072.5,3474,0.533,0.205,0.308,1803.5,894.5,3011.5,0.561,0.268,0.371
median,median values of all runs,3764,1145,5069,0.626,0.426,0.456,3569,1116,3163,0.626,0.53,0.465
q3,q3 values of all runs,5359,1994.5,7019,0.739,0.607,0.567,3720.5,1185.5,4928.5,0.804,0.553,0.652
