team,file_name,micro_tp,micro_fp,micro_fn,micro_precision,micro_recall,micro_f1,type_tp,type_fp,type_fn,type_precision,type_recall,type_f1
GRIAL-ATE,taskA_parkinson_predictions_detech_1.csv,5493,1896,3340,0.7434023548518067,0.6218725234914525,0.6772284551843175,3859,1099,2873,0.7783380395320694,0.5732323232323232,0.6602224123182208
GRIAL-ATE,taskA_parkinson_predictions_detech_2.csv,5468,1972,3365,0.7349462365591398,0.6190422280086041,0.6720334296073249,3838,1178,2894,0.7651515151515151,0.5701128936423054,0.6533878106911815
q1,q1 values of all runs,1814,1072.5,3474,0.533,0.205,0.308,1803.5,894.5,3011.5,0.561,0.268,0.371
median,median values of all runs,3764,1145,5069,0.626,0.426,0.456,3569,1116,3163,0.626,0.53,0.465
q3,q3 values of all runs,5359,1994.5,7019,0.739,0.607,0.567,3720.5,1185.5,4928.5,0.804,0.553,0.652
