team,file_name,micro_tp,micro_fp,micro_fn,micro_precision,micro_recall,micro_f1,type_tp,type_fp,type_fn,type_precision,type_recall,type_f1
In2Lab-TNT,Run1_In2Lab-TNT_taskA_parkinson_terms.csv,3764,768,5069,0.8305383936451898,0.42612928789765653,0.563262252151141,3569,704,3163,0.8352445588579452,0.530154486036839,0.648614266242617
In2Lab-TNT,Run2_In2Lab-TNT_taskA_parkinson_terms.csv,3779,778,5054,0.8292736449418477,0.4278274651873656,0.5644510828976849,3583,714,3149,0.833837561089132,0.5322341057635175,0.6497415903527065
In2Lab-TNT,Run3_In2Lab-TNT_taskA_parkinson_terms.csv,3841,806,4992,0.8265547665160319,0.4348465979848296,0.5698813056379821,3645,741,3087,0.8310533515731874,0.5414438502673797,0.65569347004857
In2Lab-TNT,Run4_In2Lab-TNT_taskA_parkinson_terms.csv,5250,2017,3583,0.7224439245906151,0.594362051398166,0.6521739130434783,3669,756,3063,0.8291525423728814,0.5450089126559715,0.657703683785964
q1,q1 values of all runs,1814,1072.5,3474,0.533,0.205,0.308,1803.5,894.5,3011.5,0.561,0.268,0.371
median,median values of all runs,3764,1145,5069,0.626,0.426,0.456,3569,1116,3163,0.626,0.53,0.465
q3,q3 values of all runs,5359,1994.5,7019,0.739,0.607,0.567,3720.5,1185.5,4928.5,0.804,0.553,0.652
