team,file_name,micro_tp,micro_fp,micro_fn,micro_precision,micro_recall,micro_f1,type_tp,type_fp,type_fn,type_precision,type_recall,type_f1
LISN,taskA_parkinson_run1_LISN_yatea-multi-single-no1char.csv,5867,7053,2966,0.45410216718266255,0.6642137439148648,0.5394198501356134,4602,6205,2130,0.4258351068751735,0.6836007130124777,0.5247733622213353
LISN,taskA_parkinson_run2_LISN_deepl-invbilou-no1char-extend.csv,5596,10095,3237,0.3566375629341661,0.6335333408807879,0.45636927091828416,3772,5705,2960,0.39801624986810175,0.5603089720736779,0.46542044543155037
LISN,taskA_parkinson_run3_LISN_deepl-bilou-no1char-extend.csv,3208,5153,5625,0.3836861619423514,0.3631835163591079,0.37315342561358616,1917,1866,4815,0.5067406819984139,0.28475935828877,0.36462196861626245
q1,q1 values of all runs,1814,1072.5,3474,0.533,0.205,0.308,1803.5,894.5,3011.5,0.561,0.268,0.371
median,median values of all runs,3764,1145,5069,0.626,0.426,0.456,3569,1116,3163,0.626,0.53,0.465
q3,q3 values of all runs,5359,1994.5,7019,0.739,0.607,0.567,3720.5,1185.5,4928.5,0.804,0.553,0.652
