team,subtask,run_id,n_pairs,concept_recall,mean_bleu_1,mean_bleu_2,mean_bleu_3,mean_rouge1_f1,mean_rouge2_f1,mean_rougeL_f1,bert_f1
In2Lab-TNT,mental_health,in2lab-tnt_run1_taskb_mental_health,100,0.469,18.68,8.57,5.05,0.252,0.061,0.201,0.925
In2Lab-TNT,mental_health,in2lab-tnt_run2_taskb_mental_health,104,0.488,17.68,8.31,4.94,0.244,0.055,0.194,0.924
q1,NA,NA,40,0.188,19.6625,9.3375,5.5,0.2575,0.06425,0.2075,0.923
median,NA,NA,40,0.188,22.79,11.72,6.904999999999999,0.276,0.074,0.229,0.923
q3,NA,NA,85,0.39875,22.97,11.8,6.96,0.278,0.074,0.231,0.9237500000000001
