team,file_name,micro_tp,micro_fp,micro_fn,micro_precision,micro_recall,micro_f1,type_tp,type_fp,type_fn,type_precision,type_recall,type_f1
UGR-TermiGenAI,taskA_mental_health_terms.csv,1479,350,13796,0.8086386003280481,0.09682487725040917,0.17294200187090739,1477,349,8868,0.8088718510405257,0.14277428709521509,0.24270807657546625
q1,q1 values of all runs,4726.5,1169,4409,0.747,0.309,0.445,4655.5,1163.5,2891,0.774,0.45,0.537
median,median values of all runs,7808,1736,7467,0.801,0.511,0.476,6823,1610,3522,0.801,0.66,0.58
q3,q3 values of all runs,10866,4033.5,10548.5,0.808,0.711,0.63,7454,2412,5689.5,0.809,0.721,0.764
