team,file_name,micro_tp,micro_fp,micro_fn,micro_precision,micro_recall,micro_f1,type_tp,type_fp,type_fn,type_precision,type_recall,type_f1
LISN,taskA_mental_health_run1_LISN_yatea-multi-single-no1char.csv,10463,17132,4812,0.37916289182822976,0.684975450081833,0.4881268952647539,7423,14935,2922,0.3320064406476429,0.7175447075882069,0.4539644680916124
LISN,taskA_mental_health_run2_LISN_deepl-invbilou-no1char-extend.csv,11269,26187,4006,0.3008596753524135,0.7377414075286416,0.4274146137945421,6823,14226,3522,0.3241484156016913,0.6595456742387626,0.43466904504045356
LISN,taskA_mental_health_run3_LISN_deepl-bilou-no1char-extend.csv,8628,12381,6647,0.410681136655719,0.5648445171849427,0.47558152353654504,4992,4669,5353,0.5167166959942034,0.48255195746737556,0.49905028491452563
q1,q1 values of all runs,4726.5,1169,4409,0.747,0.309,0.445,4655.5,1163.5,2891,0.774,0.45,0.537
median,median values of all runs,7808,1736,7467,0.801,0.511,0.476,6823,1610,3522,0.801,0.66,0.58
q3,q3 values of all runs,10866,4033.5,10548.5,0.808,0.711,0.63,7454,2412,5689.5,0.809,0.721,0.764
