team,file_name,micro_tp,micro_fp,micro_fn,micro_precision,micro_recall,micro_f1,type_tp,type_fp,type_fn,type_precision,type_recall,type_f1
GRIAL-ATE,taskA_mental_health_predictions_detech_1.csv,12383,3596,2892,0.77495462794918335,0.810671031096563,0.7924105714468549,8301,2410,2044,0.7749976659508916,0.8024166263895601,0.7884688449848023
GRIAL-ATE,taskA_mental_health_predictions_detech_2.csv,12400,3623,2875,0.7738875366660426,0.8117839607201309,0.792382899865806,8252,2414,2093,0.7736733545846616,0.7976800386660222,0.7854933130265099
q1,q1 values of all runs,4726.5,1169,4409,0.747,0.309,0.445,4655.5,1163.5,2891,0.774,0.45,0.537
median,median values of all runs,7808,1736,7467,0.801,0.511,0.476,6823,1610,3522,0.801,0.66,0.58
q3,q3 values of all runs,10866,4033.5,10548.5,0.808,0.711,0.63,7454,2412,5689.5,0.809,0.721,0.764
