team,file_name,micro_tp,micro_fp,micro_fn,micro_precision,micro_recall,micro_f1,type_tp,type_fp,type_fn,type_precision,type_recall,type_f1
In2Lab-TNT,Run1_In2Lab-TNT_taskA_mental_health_terms.csv,7800,1728,7475,0.818639798488665,0.5106382978723404,0.6289561746562915,7374,1602,2971,0.821524064171123,0.712808119864669,0.7633145282335284
In2Lab-TNT,Run2_In2Lab-TNT_taskA_mental_health_terms.csv,7808,1736,7467,0.818105616093881,0.5111620294599017,0.629195374511463,7381,1610,2964,0.8209320431542654,0.7134847752537458,0.7634464211832851
In2Lab-TNT,Run3_In2Lab-TNT_taskA_mental_health_terms.csv,7915,1892,7360,0.8070765779545223,0.5181669394435352,0.6311298939478511,7485,1762,2860,0.809451714069428,0.7235379410343161,0.764087382605145
In2Lab-TNT,Run4_In2Lab-TNT_taskA_mental_health_terms.csv,11445,4444,3830,0.7203096481842785,0.7492635024549918,0.7345013477088949,7517,1811,2828,0.8058533447684391,0.7266312228129531,0.7641945814059878
q1,q1 values of all runs,4726.5,1169,4409,0.747,0.309,0.445,4655.5,1163.5,2891,0.774,0.45,0.537
median,median values of all runs,7808,1736,7467,0.801,0.511,0.476,6823,1610,3522,0.801,0.66,0.58
q3,q3 values of all runs,10866,4033.5,10548.5,0.808,0.711,0.63,7454,2412,5689.5,0.809,0.721,0.764
