team,file_name,micro_tp,micro_fp,micro_fn,micro_precision,micro_recall,micro_f1,type_tp,type_fp,type_fn,type_precision,type_recall,type_f1
EngiNR,taskA_mental_health_terms_run_10_ccte_bsbc_atr.csv,5049,1236,10226,0.8033412887828162,0.33054009819967267,0.4683673469387755,4954,1226,5391,0.8016181229773462,0.4788786853552441,0.5995763993948563
EngiNR,taskA_mental_health_terms_run_2_ccte_only.csv,4704,948,10571,0.832271762208068,0.3079541734860884,0.449562765804941,4608,938,5737,0.8308690948431302,0.44543257612373127,0.5799509156126109
EngiNR,taskA_mental_health_terms_run_3_ccte_bsbc.csv,4749,1165,10526,0.8030098072370646,0.3109001636661211,0.44825145122469207,4655,1155,5690,0.8012048192771084,0.4499758337361044,0.5762921696069329
EngiNR,taskA_mental_health_terms_run_7_neural_glf075_freq2.csv,4656,1173,10619,0.7987647967061245,0.3048117839607201,0.4412433661865049,4656,1172,5689,0.7989018531228552,0.4500724987916868,0.5757744388796142
EngiNR,taskA_mental_health_terms_run_8_ccte_bsbc_datcf.csv,4652,1156,10623,0.8009641873278237,0.30454991816693944,0.4413034198169141,4652,1155,5693,0.8011021181332875,0.4496858385693572,0.5760277365032195
q1,q1 values of all runs,4726.5,1169,4409,0.747,0.309,0.445,4655.5,1163.5,2891,0.774,0.45,0.537
median,median values of all runs,7808,1736,7467,0.801,0.511,0.476,6823,1610,3522,0.801,0.66,0.58
q3,q3 values of all runs,10866,4033.5,10548.5,0.808,0.711,0.63,7454,2412,5689.5,0.809,0.721,0.764
